Product ID,Economy Price,Economy No Of Days,Fast Price,Fast No Of Days,Faster Price,Faster No Of Days,Crazy Fast Price,Crazy fast No Of Days,Labels,Quantity
41,$35.78,February 3 - 5,$44.72,January 30 - 31,$50.09,January 30,$71.55,January 28 - 29,"PRINT SIZE=2.5x4.5, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$33.01,February 3 - 5,$53.73,January 30 - 31,$60.17,January 30,$89.10,January 28 - 29,"PRINT SIZE=2.5x4.5, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$33.01,February 3 - 5,$53.73,January 30 - 31,$60.17,January 30,$89.10,January 28 - 29,"PRINT SIZE=2.5x4.5, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$33.34,February 3 - 5,$41.67,January 30 - 31,$46.67,January 30,$66.68,January 28 - 29,"PRINT SIZE=2.5x5, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$32.77,February 3 - 5,$40.96,January 30 - 31,$45.88,January 30,$65.54,January 28 - 29,"PRINT SIZE=2.5x5, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=None, COLOR CRITICAL=0, Corner Rounding=0",25
41,$32.59,February 3 - 5,$40.74,January 30 - 31,$45.62,January 30,$65.18,January 28 - 29,"PRINT SIZE=2.5x5, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$32.59,February 3 - 5,$40.74,January 30 - 31,$45.62,January 30,$65.18,January 28 - 29,"PRINT SIZE=2.5x5, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$35.87,February 3 - 5,$49.82,January 30 - 31,$55.80,January 30,$82.56,January 28 - 29,"PRINT SIZE=2.5x5, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$35.87,February 3 - 5,$49.82,January 30 - 31,$55.80,January 30,$82.56,January 28 - 29,"PRINT SIZE=2.5x5, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$47.89,February 3 - 5,$59.87,January 30 - 31,$67.05,January 30,$95.78,January 28 - 29,"PRINT SIZE=2.75x2, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$47.38,February 3 - 5,$59.22,January 30 - 31,$66.33,January 30,$94.76,January 28 - 29,"PRINT SIZE=2.75x2, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=None, COLOR CRITICAL=0, Corner Rounding=0",25
41,$47.22,February 3 - 5,$59.03,January 30 - 31,$66.11,January 30,$94.45,January 28 - 29,"PRINT SIZE=2.75x2, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$47.22,February 3 - 5,$59.03,January 30 - 31,$66.11,January 30,$94.45,January 28 - 29,"PRINT SIZE=2.75x2, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$28.35,February 3 - 5,$66.18,January 30 - 31,$74.12,January 30,$110.11,January 28 - 29,"PRINT SIZE=2.75x2, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$28.35,February 3 - 5,$66.18,January 30 - 31,$74.12,January 30,$110.11,January 28 - 29,"PRINT SIZE=2.75x2, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$36.55,February 3 - 5,$45.69,January 30 - 31,$51.17,January 30,$73.10,January 28 - 29,"PRINT SIZE=2.75x4, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$35.96,February 3 - 5,$44.95,January 30 - 31,$50.34,January 30,$71.91,January 28 - 29,"PRINT SIZE=2.75x4, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=None, COLOR CRITICAL=0, Corner Rounding=0",25
41,$35.78,February 3 - 5,$44.72,January 30 - 31,$50.09,January 30,$71.55,January 28 - 29,"PRINT SIZE=2.75x4, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$35.78,February 3 - 5,$44.72,January 30 - 31,$50.09,January 30,$71.55,January 28 - 29,"PRINT SIZE=2.75x4, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$32.40,February 3 - 5,$53.73,January 30 - 31,$60.17,January 30,$89.10,January 28 - 29,"PRINT SIZE=2.75x4, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$32.40,February 3 - 5,$53.73,January 30 - 31,$60.17,January 30,$89.10,January 28 - 29,"PRINT SIZE=2.75x4, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
